drink,Volume (ml),Calories,Caffeine (mg),type
Costa Coffee,256.99 ,0.00 ,277.00 ,Coffee
Coffee Friend Brewed Coffee,250.19 ,0.00 ,145.00 ,Coffee
Hell Energy Coffee,250.19 ,150.00 ,100.00 ,Coffee
Killer Coffee (AU),250.19 ,0.00 ,430.00 ,Coffee
Nescafe Gold,250.19 ,0.00 ,66.00 ,Coffee
Espresso Monster,248.42 ,170.00 ,160.00 ,Coffee
Dunkin Donuts Shot In The Dark,239.55 ,80.00 ,134.00 ,Coffee
Illy Issimo Cafe,201.10 ,45.00 ,155.00 ,Coffee
Starbucks Doubleshot Espresso,192.23 ,140.00 ,120.00 ,Coffee
TrueStart Performance Coffee,150.82 ,0.00 ,95.00 ,Coffee
Bizzy Cold Brew,78.96 ,0.00 ,125.00 ,Coffee
Zola Coconut Water Espresso,517.54 ,0.00 ,125.00 ,Coffee
Barista Bros Iced Coffee,500.09 ,204.00 ,140.00 ,Coffee
Dare Iced Coffee,500.09 ,429.00 ,160.00 ,Coffee
V Iced Coffee,500.09 ,345.00 ,155.00 ,Coffee
Bottled Iced Coffee Dunkin Donuts,405.16 ,260.00 ,171.00 ,Coffee
Starbucks Bottled Frappuccino,405.16 ,300.00 ,110.00 ,Coffee
Stok Cold Brew,405.16 ,0.00 ,145.00 ,Coffee
Wide Awake Iced Coffee Drinks,405.16 ,290.00 ,30.00 ,Coffee
Caribou Canned Cold Brew,340.10 ,10.00 ,177.00 ,Coffee
McDonalds Iced Coffee,340.10 ,180.00 ,133.00 ,Coffee
Premier Protein Cafe Latte,340.10 ,160.00 ,120.00 ,Coffee
Stumptown Cold Brew Coffee,310.52 ,3.00 ,279.00 ,Coffee
Espresso Shot,44.36 ,0.00 ,77.00 ,Coffee
Peet's Coffee Espresso,44.36 ,0.00 ,70.00 ,Coffee
Peet's Decaf Espresso,44.36 ,0.00 ,10.00 ,Coffee
Gourmesso Coffee Pods,39.92 ,0.00 ,65.00 ,Coffee
Nespresso Coffee Capsules,39.92 ,0.00 ,60.00 ,Coffee
Stok Coffee Shots,12.72 ,10.00 ,40.00 ,Coffee
Starbucks Bottled Iced Coffee,1419.53 ,240.00 ,640.00 ,Coffee
Baskin Robbins Cappuccino Blast,709.76 ,470.00 ,234.00 ,Coffee
Dunkin' Cold Brew,709.76 ,5.00 ,260.00 ,Coffee
Dunkin' Donuts Iced Coffee,709.76 ,20.00 ,297.00 ,Coffee
Dunkin' Donuts Iced Latte,709.76 ,100.00 ,166.00 ,Coffee
Dutch Bros Coffee (Classic),591.47 ,10.00 ,187.00 ,Coffee
Tim Hortons Large Brewed Coffee,591.47 ,5.00 ,270.00 ,Coffee
7 Eleven Brewed Coffee,473.18 ,5.00 ,280.00 ,Coffee
Arby's Jamocha Shake,473.18 ,830.00 ,12.00 ,Coffee
Biggby Brewed Coffee,473.18 ,0.00 ,200.00 ,Coffee
Biggby Creamy Lattes,473.18 ,387.00 ,100.00 ,Coffee
Biggby Iced Coffee,473.18 ,0.00 ,155.00 ,Coffee
Caribou Brewed Coffee,473.18 ,5.00 ,305.00 ,Coffee
Coffee Bean & Tea leaf Coffee,473.18 ,5.00 ,333.00 ,Coffee
Einstein Bros Coffee,473.18 ,0.00 ,206.00 ,Coffee
Latte,473.18 ,160.00 ,154.00 ,Coffee
McDonalds (McCafe) Latte,473.18 ,190.00 ,142.00 ,Coffee
McDonalds (McCafe) Mocha,473.18 ,380.00 ,167.00 ,Coffee
McDonalds Coffee,473.18 ,0.00 ,145.00 ,Coffee
Panera Bread Coffee,473.18 ,15.00 ,189.00 ,Coffee
Peet's Brewed Coffee,473.18 ,5.00 ,267.00 ,Coffee
Peet's Caffe Americano,473.18 ,10.00 ,140.00 ,Coffee
Peet's Caffe Latte,473.18 ,190.00 ,140.00 ,Coffee
Peet's Caffe Mocha,473.18 ,390.00 ,165.00 ,Coffee
Peet's Cappuccino,473.18 ,140.00 ,140.00 ,Coffee
Peet's Iced Coffee,473.18 ,0.00 ,150.00 ,Coffee
Peet's Iced Latte,473.18 ,120.00 ,140.00 ,Coffee
Peet's Iced Mocha,473.18 ,310.00 ,165.00 ,Coffee
Starbucks Caramel Macchiato,473.18 ,250.00 ,150.00 ,Coffee
Starbucks Cold Brew Coffee,473.18 ,5.00 ,205.00 ,Coffee
Starbucks Decaf Coffee,473.18 ,0.00 ,25.00 ,Coffee
Starbucks Grande Caffe Americano,473.18 ,15.00 ,225.00 ,Coffee
Starbucks Grande Caffe Latte,473.18 ,190.00 ,150.00 ,Coffee
Starbucks Grande Caffe Mocha,473.18 ,370.00 ,175.00 ,Coffee
Starbucks Grande Cappuccino,473.18 ,140.00 ,150.00 ,Coffee
Starbucks Grande Coffee,473.18 ,5.00 ,310.00 ,Coffee
Starbucks Iced Americano,473.18 ,15.00 ,225.00 ,Coffee
Starbucks Nitro Cold Brew Coffee,473.18 ,5.00 ,280.00 ,Coffee
Starbucks Pink Drink,473.18 ,140.00 ,45.00 ,Coffee
Starbucks Pumpkin Cream Cold Brew,473.18 ,250.00 ,185.00 ,Coffee
Starbucks Refreshers,473.18 ,70.00 ,45.00 ,Coffee
Wawa Coffee,473.18 ,4.00 ,290.00 ,Coffee
Private Selection Canned Espresso,443.60 ,230.00 ,145.00 ,Coffee
Starbucks Doubleshot Energy,443.60 ,220.00 ,135.00 ,Coffee
Wide Awak Energy Coffee,443.60 ,190.00 ,180.00 ,Coffee
Chick-fil-A Frosted Coffee,414.03 ,240.00 ,130.00 ,Coffee
Chick-fil-A Iced Coffee,414.03 ,190.00 ,80.00 ,Coffee
Dunkin' Donuts Brewed Coffee,414.03 ,5.00 ,210.00 ,Coffee
Dunkin' Donuts Dunkaccino,414.03 ,350.00 ,83.00 ,Coffee
Dunkin' Donuts Extra Charged Coffee,414.03 ,10.00 ,252.00 ,Coffee
Dunkin' Donuts Latte,414.03 ,100.00 ,166.00 ,Coffee
Americano Coffee,354.88 ,5.00 ,154.00 ,Coffee
Big Train Java Chip Ice Coffee,354.88 ,410.00 ,49.00 ,Coffee
Biohazard Coffee,354.88 ,3.00 ,928.00 ,Coffee
Black Ink Coffee,354.88 ,0.00 ,144.00 ,Coffee
Black Insomnia Coffee,354.88 ,0.00 ,1105.00 ,Coffee
Black Label Brewed Coffee,354.88 ,0.00 ,1555.00 ,Coffee
Cafe Bustelo,354.88 ,0.00 ,150.00 ,Coffee
Caffe Mocha,354.88 ,239.00 ,152.00 ,Coffee
Caffe Nero Coffee,354.88 ,5.00 ,160.00 ,Coffee
Cannonball Coffee Maximum Charge (UK),354.88 ,0.00 ,1101.00 ,Coffee
Cappuccino,354.88 ,97.00 ,154.00 ,Coffee
Death Wish Coffee,354.88 ,0.00 ,728.00 ,Coffee
Devils Brew Extreme Caffeine Coffee,354.88 ,0.00 ,1325.00 ,Coffee
Flat White,354.88 ,170.00 ,130.00 ,Coffee
GymBrew Coffee,354.88 ,4.00 ,333.00 ,Coffee
High Voltage Coffee (AU),354.88 ,0.00 ,1150.00 ,Coffee
International Delight Iced Coffee,354.88 ,180.00 ,88.00 ,Coffee
Seattle's Best Brewed Coffee,354.88 ,10.00 ,260.00 ,Coffee
Starbucks Iced Espresso Classics,354.88 ,190.00 ,125.00 ,Coffee
Stipe Miocic Extra Strength Coffee,354.88 ,0.00 ,500.00 ,Coffee
Sudden Instant Coffee,354.88 ,0.00 ,95.00 ,Coffee
Taft Coffee (EU),354.88 ,0.00 ,1182.00 ,Coffee
Very Strong Coffee,354.88 ,0.00 ,1350.00 ,Coffee
Chameleon Cold Brew With Milk,325.31 ,100.00 ,100.00 ,Coffee
Muscle Milk Coffee House,325.31 ,130.00 ,120.00 ,Coffee
SlimFast Shake - Cappuccino,325.31 ,180.00 ,100.00 ,Coffee
Starbucks Bottled Cold Brew,325.31 ,50.00 ,180.00 ,Coffee
Starbucks Canned Nitro Cold Brew,325.31 ,0.00 ,235.00 ,Coffee
Starbucks Cold & Crafted,325.31 ,50.00 ,135.00 ,Coffee
Stumptown Nitro Cold Brew,325.31 ,3.00 ,330.00 ,Coffee
Sunup Pure Green Coffee,325.31 ,5.00 ,200.00 ,Coffee
Wide Awake Coffee Cold Brew,325.31 ,5.00 ,120.00 ,Coffee
Chameleon Cold Brew RTD,295.74 ,10.00 ,230.00 ,Coffee
Chick-fil-A Brewed Coffee,295.74 ,0.00 ,136.00 ,Coffee
CoolBrew Coffee,295.74 ,0.00 ,60.00 ,Coffee
Tim Hortons Small French Vanilla Coffee,295.74 ,0.00 ,60.00 ,Coffee
La Colombe Cold Brew,266.16 ,5.00 ,180.00 ,Coffee
La Colombe Draft Latte,266.16 ,90.00 ,120.00 ,Coffee
Alpine Start Instant Coffee,236.59 ,0.00 ,120.00 ,Coffee
Bulletproof Coffee,236.59 ,0.00 ,145.00 ,Coffee
Califia Farms Cold Brew Coffee,236.59 ,10.00 ,180.00 ,Coffee
CBD Coffee,236.59 ,0.00 ,100.00 ,Coffee
Chameleon Cold Brew Coffee,236.59 ,15.00 ,200.00 ,Coffee
Coffee,236.59 ,0.00 ,163.00 ,Coffee
Coffee (Decaf, Instant),236.59 ,6.00 ,2
Coffee (Instant),236.59 ,0.00 ,57.00 ,Coffee
Coffee Leaf Tea,236.59 ,0.00 ,20.00 ,Coffee
Crio Bru Brewed Cacao,236.59 ,20.00 ,10.00 ,Coffee
Death Wish Canned Cold Brew,236.59 ,15.00 ,300.00 ,Coffee
Death Wish Latte,236.59 ,170.00 ,300.00 ,Coffee
Decaf Coffee,236.59 ,2.00 ,6.00 ,Coffee
Driftaway Coffee,236.59 ,0.00 ,160.00 ,Coffee
Eight O'Clock Coffee,236.59 ,0.00 ,112.00 ,Coffee
Folgers Coffee,236.59 ,0.00 ,112.00 ,Coffee
Gold Peak Coffee,236.59 ,5.00 ,126.00 ,Coffee
Gothrider Gasoline Coffee,236.59 ,0.00 ,200.00 ,Coffee
High Brew Coffee,236.59 ,50.00 ,140.00 ,Coffee
Indulgio Cappuccino,236.59 ,79.00 ,20.00 ,Coffee
K Cup Decaf,236.59 ,0.00 ,4.00 ,Coffee
K-Cup Coffee,236.59 ,0.00 ,100.00 ,Coffee
Maxwell House Coffee,236.59 ,0.00 ,112.00 ,Coffee
Maxwell House Max Boost Coffee,236.59 ,0.00 ,196.00 ,Coffee
Nescafe Dolce Gusto,236.59 ,0.00 ,106.00 ,Coffee
Nescafe Ice Java,236.59 ,50.00 ,100.00 ,Coffee
Nescafe Ricoffy,236.59 ,10.00 ,6.00 ,Coffee
Nestle Milo,236.59 ,80.00 ,4.00 ,Coffee
Noocaf Smart Coffee,236.59 ,0.00 ,160.00 ,Coffee
Ocean Spray Brew,236.59 ,30.00 ,40.00 ,Coffee
Purity Coffee,236.59 ,0.00 ,163.00 ,Coffee
Revv Coffee Pods,236.59 ,0.00 ,127.00 ,Coffee
Robusta Coffee,236.59 ,0.00 ,265.00 ,Coffee
Starbucks 2X Coffee Pods,236.59 ,0.00 ,260.00 ,Coffee
Starbucks Cordusio Mocha,236.59 ,130.00 ,155.00 ,Coffee
Starbucks Verismo Coffee Pods,236.59 ,0.00 ,60.00 ,Coffee
Starbucks Via Ready Brew,236.59 ,0.00 ,135.00 ,Coffee
Steep 18 Cold Brew,236.59 ,0.00 ,90.00 ,Coffee
Taster's Choice Instant Coffee,236.59 ,0.00 ,98.00 ,Coffee
Voila Instant Coffee,236.59 ,0.00 ,100.00 ,Coffee
Waka Decaf Instant Coffee,236.59 ,0.00 ,4.00 ,Coffee
Waka Indian Instant Coffee,236.59 ,0.00 ,70.00 ,Coffee
Waka Instant Coffee,236.59 ,0.00 ,70.00 ,Coffee
Whipped (Dalgona) Coffee,236.59 ,48.00 ,105.00 ,Coffee
Mushroom Coffee,207.01 ,5.00 ,40.00 ,Coffee
Cafe Con Leche,177.44 ,56.00 ,154.00 ,Coffee
Choffy (roasted cacao),177.44 ,0.00 ,23.00 ,Coffee
COGO Caffeinated Hot Chocolate,177.44 ,110.00 ,98.00 ,Coffee
Dripdash Kyoto Coffee,177.44 ,0.00 ,225.00 ,Coffee
Long Black,177.44 ,2.00 ,154.00 ,Coffee
Nescafe 3 in 1 Instant Coffee,177.44 ,74.00 ,50.00 ,Coffee
Gloria Jean's Coffee,59.98 ,0.00 ,67.00 ,Coffee
Biggby Espresso,59.15 ,0.00 ,100.00 ,Coffee
Greek Coffee (Metrios),59.15 ,25.00 ,50.00 ,Coffee
Turkish Coffee,59.15 ,20.00 ,50.00 ,Coffee
28 Black Energy Drink,250.19 ,125.00 ,80.00 ,Energy Drinks
4 Purpose Energy Drink,250.19 ,70.00 ,70.00 ,Energy Drinks
BEEBAD Energy Drink,250.19 ,110.00 ,80.00 ,Energy Drinks
Black Bruin Energy Drink,250.19 ,122.00 ,38.00 ,Energy Drinks
Blu Frog Energy Drink,250.19 ,90.00 ,80.00 ,Energy Drinks
Blue Bolt (UK),250.19 ,112.00 ,80.00 ,Energy Drinks
Blue Charge (UK),250.19 ,49.00 ,80.00 ,Energy Drinks
Blue Spark (UK),250.19 ,56.00 ,75.00 ,Energy Drinks
Bomb Energy Drink,250.19 ,0.00 ,80.00 ,Energy Drinks
Boost Energy (UK),250.19 ,58.00 ,80.00 ,Energy Drinks
Euro Shopper Energy Drink (EU),250.19 ,115.00 ,80.00 ,Energy Drinks
Hell Energy Drink (EU),250.19 ,115.00 ,80.00 ,Energy Drinks
Hype Energy Drink (EU),250.19 ,108.00 ,80.00 ,Energy Drinks
M-150 Energy Drink,250.19 ,155.00 ,80.00 ,Energy Drinks
Pure Cofain 699 (EU),250.19 ,148.00 ,175.00 ,Energy Drinks
Red Bull,250.19 ,117.00 ,80.00 ,Energy Drinks
Red Bull Editions,250.19 ,113.00 ,80.00 ,Energy Drinks
Red Bull Sugarfree,250.19 ,10.00 ,80.00 ,Energy Drinks
Red Bull Zero,250.19 ,0.00 ,80.00 ,Energy Drinks
Scheckters Energy Drink,250.19 ,78.00 ,80.00 ,Energy Drinks
Slammers Energy Drink (EU),250.19 ,122.00 ,80.00 ,Energy Drinks
Source 1899 (UK),250.19 ,58.00 ,80.00 ,Energy Drinks
Taurus Energy Drink,250.19 ,180.00 ,50.00 ,Energy Drinks
TENZING Natural Energy,250.19 ,50.00 ,80.00 ,Energy Drinks
Tiger Energy Drink,250.19 ,0.00 ,80.00 ,Energy Drinks
Tweaker Energy Drink,250.19 ,110.00 ,80.00 ,Energy Drinks
Virtue Clean Energy Beverage,250.19 ,8.00 ,80.00 ,Energy Drinks
Wildcat Energy Drink (UK),250.19 ,115.00 ,80.00 ,Energy Drinks
X Ray Energy Drink,250.19 ,125.00 ,79.00 ,Energy Drinks
OK Energy Drink,249.90 ,113.00 ,80.00 ,Energy Drinks
Power Horse Energy Drink (EU),249.90 ,125.00 ,80.00 ,Energy Drinks
V Energy Drink,249.90 ,116.00 ,78.00 ,Energy Drinks
XL Energy Drink (EU),249.90 ,118.00 ,80.00 ,Energy Drinks
Crave Energy Drink (UK),249.30 ,10.00 ,80.00 ,Energy Drinks
Bomba (EU),248.42 ,123.00 ,80.00 ,Energy Drinks
Cintron Energy Drink,248.42 ,60.00 ,85.00 ,Energy Drinks
Dutch Bros Blue Rebel Energy Drink,248.42 ,116.00 ,80.00 ,Energy Drinks
XS Energy Drink,248.42 ,10.00 ,80.00 ,Energy Drinks
Wild Tiger Energy Drink,247.23 ,125.00 ,75.00 ,Energy Drinks
Liquid Ice Energy Drink,245.46 ,120.00 ,80.00 ,Energy Drinks
Rush! Energy Drink,245.46 ,120.00 ,80.00 ,Energy Drinks
Monster Hydro,751.17 ,150.00 ,188.00 ,Energy Drinks
Monster Import,550.07 ,190.00 ,179.00 ,Energy Drinks
Moose Juice Energy Drink,500.98 ,0.00 ,200.00 ,Energy Drinks
Club Mate (EU),500.09 ,160.00 ,100.00 ,Energy Drinks
Demon Energy Drink,500.09 ,253.00 ,160.00 ,Energy Drinks
LevlUp Gaming Booster,500.09 ,8.00 ,250.00 ,Energy Drinks
Monster Ripper Energy Juice (UK),500.09 ,185.00 ,160.00 ,Energy Drinks
Monster The Doctor VR46 (UK),500.09 ,219.00 ,160.00 ,Energy Drinks
Mother Energy Drink,500.09 ,228.00 ,160.00 ,Energy Drinks
Protein2O + Energy,500.09 ,70.00 ,125.00 ,Energy Drinks
Strike Force Energy Drink Mix,500.09 ,0.00 ,160.00 ,Energy Drinks
4C Energy Drink Mix,499.79 ,15.00 ,170.00 ,Energy Drinks
Arizona Arnold Palmer Half and Half,499.79 ,180.00 ,15.00 ,Energy Drinks
Gatorade Bolt 24 Energize,499.79 ,40.00 ,75.00 ,Energy Drinks
Live+ Energy Drink,499.79 ,227.00 ,150.00 ,Energy Drinks
Pure Kick Energy Drink Mix,499.79 ,10.00 ,80.00 ,Energy Drinks
Monster Dragon Tea,458.39 ,40.00 ,155.00 ,Energy Drinks
Monster Rehab,458.39 ,25.00 ,170.00 ,Energy Drinks
Neuro Sonic,428.82 ,35.00 ,100.00 ,Energy Drinks
Lucozade,380.02 ,133.00 ,46.00 ,Energy Drinks
Fakeer Energy Drink (EU),370.26 ,148.00 ,118.00 ,Energy Drinks
Arizona Energy Drink Rx,340.10 ,130.00 ,127.00 ,Energy Drinks
Bai Boost,339.21 ,10.00 ,110.00 ,Energy Drinks
NOCCO Energy Drink (EU),330.34 ,0.00 ,180.00 ,Energy Drinks
Carabao Energy Drink (UK),330.04 ,63.00 ,106.00 ,Energy Drinks
Irn Bru (UK),330.04 ,65.00 ,30.00 ,Energy Drinks
Soylent Stacked,330.04 ,180.00 ,100.00 ,Energy Drinks
Red Eye Energy Drink,328.27 ,149.00 ,106.00 ,Energy Drinks
Mega Monster Energy Drink,709.76 ,320.00 ,240.00 ,Energy Drinks
Amino Force Energy Drink,650.62 ,0.00 ,200.00 ,Energy Drinks
Bodyarmour Edge,591.47 ,180.00 ,100.00 ,Energy Drinks
SoBe Energy Citrus,591.47 ,250.00 ,81.00 ,Energy Drinks
ABB Turbo Tea Zero,532.32 ,0.00 ,120.00 ,Energy Drinks
Bai Antioxidant Infusion,532.32 ,10.00 ,55.00 ,Energy Drinks
Viso Energy Drink,502.75 ,140.00 ,300.00 ,Energy Drinks
3D Energy Drink,473.18 ,15.00 ,200.00 ,Energy Drinks
Adrenaline Shoc,473.18 ,10.00 ,300.00 ,Energy Drinks
Alsa Energy Drink Mix,473.18 ,30.00 ,100.00 ,Energy Drinks
Bang Energy,473.18 ,0.00 ,300.00 ,Energy Drinks
Bang Keto Coffee,473.18 ,130.00 ,300.00 ,Energy Drinks
Bang Natural,473.18 ,0.00 ,250.00 ,Energy Drinks
Bang Sweet Tea,473.18 ,0.00 ,300.00 ,Energy Drinks
Beaver Buzz Energy Drink,473.18 ,240.00 ,178.00 ,Energy Drinks
Berzerk Energy Drink Mix,473.18 ,5.00 ,200.00 ,Energy Drinks
C4 Energy Drink,473.18 ,0.00 ,200.00 ,Energy Drinks
C4 Smart Energy Drink,473.18 ,0.00 ,200.00 ,Energy Drinks
C4 Ultimate Energy Drink,473.18 ,0.00 ,300.00 ,Energy Drinks
Celsius Heat Energy Drink,473.18 ,15.00 ,300.00 ,Energy Drinks
Crunk Energy Drink,473.18 ,200.00 ,192.00 ,Energy Drinks
Crystal Light Energy Mix,473.18 ,10.00 ,60.00 ,Energy Drinks
Electric Monkey Wild Energy Drink,473.18 ,220.00 ,160.00 ,Energy Drinks
Full Throttle Energy Drink,473.18 ,220.00 ,160.00 ,Energy Drinks
GFuel Cans,473.18 ,0.00 ,300.00 ,Energy Drinks
GFuel Energy Drink Mix,473.18 ,15.00 ,140.00 ,Energy Drinks
Go Fast Energy Drink,473.18 ,200.00 ,160.00 ,Energy Drinks
Go Fast High Octane Energy Drink,473.18 ,0.00 ,300.00 ,Energy Drinks
Great Value Energy Drink Mix,473.18 ,10.00 ,120.00 ,Energy Drinks
Gridlock Energy Drink,473.18 ,200.00 ,140.00 ,Energy Drinks
Hi Ball Energy Drink,473.18 ,0.00 ,160.00 ,Energy Drinks
Joker Mad Energy,473.18 ,260.00 ,160.00 ,Energy Drinks
Liquid Help Energy Drink,473.18 ,0.00 ,300.00 ,Energy Drinks
Loud Energy Drink,473.18 ,10.00 ,320.00 ,Energy Drinks
Monster Assault,473.18 ,210.00 ,160.00 ,Energy Drinks
Monster Energy,473.18 ,210.00 ,160.00 ,Energy Drinks
Monster Juice,473.18 ,160.00 ,160.00 ,Energy Drinks
Monster Lo-Carb,473.18 ,30.00 ,140.00 ,Energy Drinks
Monster Mango Loco,473.18 ,240.00 ,152.00 ,Energy Drinks
Monster Mule,473.18 ,210.00 ,160.00 ,Energy Drinks
Monster Pipeline Punch,473.18 ,190.00 ,160.00 ,Energy Drinks
Monster Ultra,473.18 ,10.00 ,150.00 ,Energy Drinks
Monster Zero Sugar,473.18 ,10.00 ,140.00 ,Energy Drinks
Mountain Dew Amp,473.18 ,220.00 ,142.00 ,Energy Drinks
Mountain Dew Game Fuel,473.18 ,90.00 ,90.00 ,Energy Drinks
Mountain Dew Rise,473.18 ,25.00 ,180.00 ,Energy Drinks
NOS Energy Drink,473.18 ,200.00 ,160.00 ,Energy Drinks
Nuun Sport,473.18 ,15.00 ,40.00 ,Energy Drinks
Propel Zero Powder,473.18 ,0.00 ,0.00 ,Energy Drinks
Pure Boost Energy Drink Mix,473.18 ,25.00 ,100.00 ,Energy Drinks
Quake Energy Berry Blast Slurpee,473.18 ,5.00 ,92.00 ,Energy Drinks
Quake Energy Drink,473.18 ,0.00 ,250.00 ,Energy Drinks
Raze Energy Drink,473.18 ,0.00 ,300.00 ,Energy Drinks
Reign Total Body Fuel,473.18 ,0.00 ,300.00 ,Energy Drinks
